"LUNA RAUM – DEMO, kein Angebot";"Menge";"Einheit";"Demopreis EUR";"Summe EUR"
"Bodenfläche";"15,12";"m²";"";""
"Wandfläche brutto";"40,56";"m²";"";""
"Öffnungen";"3,57";"m²";"";""
"Wandfläche netto";"36,99";"m²";"";""
"Hochschrank 600 / Wand A / 0 mm";"1";"Stk.";"680,00";"680,00"
"Unterschrank 800 / Wand A / 600 mm";"1";"Stk.";"380,00";"380,00"
"Unterschrank 600 / Wand A / 1 400 mm";"1";"Stk.";"285,00";"285,00"
"Spülenunterschrank / Wand A / 2 000 mm";"1";"Stk.";"375,00";"375,00"
"Geschirrspüler-Nische / Wand A / 2 600 mm";"1";"Stk.";"0,00";"0,00"
"Unterschrank 1000 / Wand A / 3 200 mm";"1";"Stk.";"475,00";"475,00"
"Oberschrank 800 / Wand A / 600 mm";"1";"Stk.";"320,00";"320,00"
"Oberschrank 1000 / Wand A / 3 200 mm";"1";"Stk.";"400,00";"400,00"
"Arbeitsplatte";"3,60";"lm";"220,00";"792,00"
"Wandabschluss";"3,60";"lm";"32,00";"115,20"
"Sockel";"4,20";"lm";"38,00";"159,60"
"Wangen";"0,00";"Stk.";"65,00";"0,00"
"DEMO GESAMT – ohne Montage, Geräte, USt.";"";"";"";"3 981,80"
